id,query,country,position,title,seller,price,old_price,link,legit,good_deal,notes
in_iphone-15_0,iPhone 15,in,0,Apple iPhone 15,Flipkart,"₹59,900",,"https://www.google.com/search?ibp=oshop&q=iPhone 15&prds=catalogid:15785253736106745943,productid:6746962392806557762,headlineOfferDocid:3652161252930486937,imageDocid:16409709520162893247,rds:PC_6601648695432433635|PROD_PC_6601648695432433635,gpcid:6601648695432433635,mid:576462758755759090,pvt:hg&hl=en&gl=in&udm=28",1,1,"Flipkart; ₹59,900 vs ₹69,900 MRP"
in_iphone-15_1,iPhone 15,in,1,Apple iPhone 15 Plus,EMI Snapmint,"₹48,199",,"https://www.google.com/search?ibp=oshop&q=iPhone 15&prds=catalogid:7991829112168492419,productid:11492613557542721625,headlineOfferDocid:575533677217015002,imageDocid:3073944492404446314,rds:PC_4702526954592161872|PROD_PC_4702526954592161872,gpcid:4702526954592161872,mid:576462756293218671,pvt:hg&hl=en&gl=in&udm=28",1,,"Snapmint (EMI marketplace); 15 Plus at ₹48,199 — unclear if new or refurbished"
in_iphone-15_2,iPhone 15,in,2,Apple iPhone 15 Pro Max,Cashify,"₹82,499",,"https://www.google.com/search?ibp=oshop&q=iPhone 15&prds=catalogid:2599574324981893862,productid:4972869621501417845,headlineOfferDocid:3535546537264526072,imageDocid:6636992886883810331,rds:PC_6285855430991265102|PROD_PC_6285855430991265102,gpcid:3771882326689571212,mid:576462567056091662,pvt:hg&hl=en&gl=in&udm=28",1,0,Cashify refurbished Pro Max; in line with other refurbished Pro Max listings (~₹81-82k)
in_iphone-15_3,iPhone 15,in,3,Apple iPhone 15 Pro,desertcart.in,"₹1,01,559",,"https://www.google.com/search?ibp=oshop&q=iPhone 15&prds=catalogid:3225823599495019368,productid:12337596112653343762,headlineOfferDocid:4973585066128325434,imageDocid:1599016285284903293,rds:PC_8155392194501963224|PROD_PC_8155392194501963224,gpcid:8155392194501963224,pvt:hg&hl=en&gl=in&udm=28",1,0,desertcart import; 15 Pro at ₹1.02L is above current market
in_iphone-15_4,iPhone 15,in,4,Apple iPhone 15 – Refurbished Certified – AS-IS Grade | 256GB | Black – by Ovantica,Ovantica.com,"₹18,499",,"https://www.google.com/search?ibp=oshop&q=iPhone 15&prds=productid:3968508903264891762,headlineOfferDocid:3968508903264891762,imageDocid:15788927624656458560,rds:PC_6601648695432433635|PROD_PC_6601648695432433635,pvt:hg&hl=en&gl=in&udm=28",1,,"Ovantica is real (mixed reviews); 'AS-IS grade' = condition unknown, can't compare price"
in_iphone-15_5,iPhone 15,in,5,iPhone 15 (128GB_Blue),SS Mobile,"₹69,900",,"https://www.google.com/search?ibp=oshop&q=iPhone 15&prds=productid:11432577924314111884,headlineOfferDocid:11432577924314111884,imageDocid:16850814165562711282,rds:PC_6601648695432433635|PROD_PC_6601648695432433635,pvt:hg&hl=en&gl=in&udm=28",1,0,"SS Mobile (500+ store chain); ₹69,900 = MRP, Flipkart ₹59,900"
in_iphone-15_6,iPhone 15,in,6,Apple iPhone 15 Pro Max 256GB,EMI Snapmint,"₹81,599",,"https://www.google.com/search?ibp=oshop&q=iPhone 15&prds=catalogid:11337896240160481350,productid:5436847981740539926,headlineOfferDocid:8223974816121483907,imageDocid:12025039913335026304,rds:PC_12795037018121803266|PROD_PC_12795037018121803266,gpcid:12795037018121803266,pvt:hg&hl=en&gl=in&udm=28",1,,"Snapmint; Pro Max 256GB ₹81,599 — condition unclear"
in_iphone-15_7,iPhone 15,in,7,Apple iPhone 15 (128 GB) - Negro,ubuy.co.in,"₹89,164",,"https://www.google.com/search?ibp=oshop&q=iPhone 15&prds=productid:4775945629751102225,headlineOfferDocid:4775945629751102225,imageDocid:14195558829100895039,pvt:hg&hl=en&gl=in&udm=28",1,0,"ubuy import at ₹89,164, well above ₹69,900 MRP"
in_iphone-15_8,iPhone 15,in,8,Refurbished Apple iPhone 15 Blue by Cashify,Cashify,"₹44,399",,"https://www.google.com/search?ibp=oshop&q=iPhone 15&prds=productid:6700251440599931343,headlineOfferDocid:6700251440599931343,imageDocid:13791168709069157230,pvt:hg&hl=en&gl=in&udm=28",1,0,Cashify refurbished iPhone 15; typical refurbished price (~₹40-45k)
in_iphone-15_9,iPhone 15,in,9,Apple iPhone 15 128 GB snjallsími,Darling Retail,"₹74,900",,"https://www.google.com/search?ibp=oshop&q=iPhone 15&prds=catalogid:2726720006560815378,productid:10630260865055612257,headlineOfferDocid:3418898387911235054,imageDocid:16844861117666091760,rds:PC_14516470918508340585|PROD_PC_14516470918508340585,gpcid:14516470918508340585,pvt:hg&hl=en&gl=in&udm=28",1,0,"Darling Retail (185+ store chain); ₹74,900 above MRP"
in_samsung-galaxy-s24_0,Samsung Galaxy S24,in,0,Samsung Galaxy S26 5G,dakauf.eu,"₹93,317.71",,"https://www.google.com/search?ibp=oshop&q=Samsung Galaxy S24&prds=catalogid:12410788759146033622,productid:5121613485996243953,headlineOfferDocid:13843385898233012989,imageDocid:6708692064589643120,rds:PC_1767235362374137003|PROD_PC_1767235362374137003,gpcid:1767235362374137003,mid:576462879193290881,pvt:hg&hl=en&gl=in&udm=28",,,"dakauf.eu: EU shop, mixed reviews incl. 'price mistake after payment' complaints"
in_samsung-galaxy-s24_1,Samsung Galaxy S24,in,1,Samsung Galaxy S26 5G,Samsung.com,"₹1,14,999 now",,"https://www.google.com/search?ibp=oshop&q=Samsung Galaxy S24&prds=catalogid:12410788759146033622,productid:5121613485996243953,headlineOfferDocid:9240940662622844425,imageDocid:6708692064589643120,rds:PC_1767235362374137003|PROD_PC_1767235362374137003,gpcid:1767235362374137003,mid:576462879193290881,pvt:hg&hl=en&gl=in&udm=28",1,0,Samsung.com official price
in_samsung-galaxy-s24_2,Samsung Galaxy S24,in,2,"Samsung Galaxy S24 FE 5G (8GB RAM, 128GB, Graphite)",,"₹29,000+",,,,,no seller: Google compare-price card
in_samsung-galaxy-s24_3,Samsung Galaxy S24,in,3,"Samsung Galaxy S24 FE 5G (8GB RAM, 128GB, Mint)",,,,,,,no seller: Google compare-price card
in_samsung-galaxy-s24_4,Samsung Galaxy S24,in,4,"Samsung Galaxy S24 FE 5G (8GB RAM, 128GB, Blue)",,,,,,,no seller: Google compare-price card
in_samsung-galaxy-s24_5,Samsung Galaxy S24,in,5,"Samsung Galaxy S24 5g (amber Yellow, 256 Gb, 4000 Mah)",,,,,,,no seller: Google compare-price card
in_samsung-galaxy-s24_6,Samsung Galaxy S24,in,6,"Samsung Galaxy S24 5g (cobalt Violet, 256 Gb, 4000 Mah)",,"₹55,000+",,,,,no seller: Google compare-price card
in_samsung-galaxy-s24_7,Samsung Galaxy S24,in,7,"Samsung Galaxy S24 Ultra 512GB Titanium Gray, Imported",Design Info,"₹74,999",,"https://www.google.com/search?ibp=oshop&q=Samsung Galaxy S24&prds=productid:2739222214338370715,headlineOfferDocid:2739222214338370715,imageDocid:16136503422870481515,rds:PC_4950077602199056236|PROD_PC_4950077602199056236,pvt:hg&hl=en&gl=in&udm=28",1,1,"Design Info (Indian retailer); S24 Ultra 512GB imported at ₹74,999, below usual Indian price for 256GB; no India warranty"
in_samsung-galaxy-s24_8,Samsung Galaxy S24,in,8,Monitor Samsung ls24d304gauxen Full Hd 24,ubuy.co.in,"₹10,545",,"https://www.google.com/search?ibp=oshop&q=Samsung Galaxy S24&prds=catalogid:3161139895608496433,productid:4708348253237448186,headlineOfferDocid:13182617097396540696,imageDocid:12878121683194874615,rds:PC_5008687086930242478|PROD_PC_5008687086930242478,gpcid:5008687086930242478,mid:576462892676347787,pvt:hg&hl=en&gl=in&udm=28",1,0,"ubuy import; 24"" FHD monitor typically ₹7-9k in India"
in_samsung-galaxy-s24_9,Samsung Galaxy S24,in,9,"Recertified - Samsung S24C450 DVI+VGA 1920x1080 24"" Monitor, Black",desertcart.in,"₹38,374",,"https://www.google.com/search?ibp=oshop&q=Samsung Galaxy S24&prds=catalogid:17015835374381179490,productid:13834236606706504276,headlineOfferDocid:13514842376585726253,imageDocid:3328160023477603100,pvt:hg&hl=en&gl=in&udm=28",1,0,"desertcart recertified 24"" monitor at ₹38k — far above new price"
in_boat-airdopes-earbuds_0,boAt Airdopes earbuds,in,0,"Boat Airdopes 213, 50H Battery",Solutions World,"₹4,599",,"https://www.google.com/search?ibp=oshop&q=boAt Airdopes earbuds&prds=productid:1416162683020905983,headlineOfferDocid:1416162683020905983,imageDocid:5390715044464045930,rds:PC_7784049715809830982|PROD_PC_7784049715809830982,pvt:hg&hl=en&gl=in&udm=28",1,0,"Solutions World (established Mumbai retailer); Airdopes 213 at ₹4,599 far above typical"
in_boat-airdopes-earbuds_1,boAt Airdopes earbuds,in,1,"boAt Airdopes 131/138 TWS Earbuds w/ 60H Playtime, 13mm Drivers, ASAP Charge & BTv5.1 (Onesize) by Myntra",Myntra,"₹2,990",,"https://www.google.com/search?ibp=oshop&q=boAt Airdopes earbuds&prds=productid:4378514203240297818,headlineOfferDocid:4378514203240297818,imageDocid:9587876137742082540,pvt:hg&hl=en&gl=in&udm=28",1,0,"Myntra; ₹2,990 is MRP, usually sells ~₹1,000"
in_boat-airdopes-earbuds_2,boAt Airdopes earbuds,in,2,boAt Airdopes Alpha - True Wireless Earbuds,Frisky Global,₹999,,"https://www.google.com/search?ibp=oshop&q=boAt Airdopes earbuds&prds=productid:2131750508778821592,headlineOfferDocid:2131750508778821592,imageDocid:12323216149246325855,rds:PC_3393757182747677985|PROD_PC_3393757182747677985,pvt:hg&hl=en&gl=in&udm=28",,,Frisky Global: no reviews anywhere
in_boat-airdopes-earbuds_3,boAt Airdopes earbuds,in,3,boAt Airdopes 141,Cashify,"₹1,199",,"https://www.google.com/search?ibp=oshop&q=boAt Airdopes earbuds&prds=productid:12578018212618345154,headlineOfferDocid:12578018212618345154,imageDocid:14507166670374324470,rds:PC_8839480468380139259|PROD_PC_8839480468380139259,pvt:hg&hl=en&gl=in&udm=28",1,0,"Cashify; Airdopes 141 ~₹1,100-1,300 elsewhere"
in_boat-airdopes-earbuds_4,boAt Airdopes earbuds,in,4,boAt Airdopes 141 Elite in-Ear Truly Wireless Bluetooth v5.3...,Gadgets Now,"₹5,790",,"https://www.google.com/search?ibp=oshop&q=boAt Airdopes earbuds&prds=productid:13168841190037278466,headlineOfferDocid:13168841190037278466,imageDocid:11193527607263547917,rds:PC_8255531293499601866|PROD_PC_8255531293499601866,pvt:hg&hl=en&gl=in&udm=28",1,0,"Gadgets Now (Times Internet shop); ₹5,790 far above typical"
in_boat-airdopes-earbuds_5,boAt Airdopes earbuds,in,5,"boAt Airdopes 281 True Wireless Bluetooth (Furious Blue, True Wireless),(unboxed)",Banjara Electronics,"₹1,099",,"https://www.google.com/search?ibp=oshop&q=boAt Airdopes earbuds&prds=productid:4058922989731623404,headlineOfferDocid:4058922989731623404,imageDocid:17857522472104188600,rds:PC_8627082203010371993|PROD_PC_8627082203010371993,pvt:hg&hl=en&gl=in&udm=28",0,,Banjara Electronics: Trustpilot full of non-delivery / wrong-spec complaints
in_boat-airdopes-earbuds_6,boAt Airdopes earbuds,in,6,"boAt Re-launched Airdopes 800 TWS earbuds with Dolby Audio, adaptive EQ by Mimi, 40 hours playback, 4 microphones with AI-ENx, multi-point connection,",desertcart.in,"₹13,047",,"https://www.google.com/search?ibp=oshop&q=boAt Airdopes earbuds&prds=productid:5689423866029150959,headlineOfferDocid:5689423866029150959,imageDocid:13377848105070967975,rds:PC_7515343444394554715|PROD_PC_7515343444394554715,pvt:hg&hl=en&gl=in&udm=28",1,0,desertcart import; Airdopes 800 ~₹3k in India
in_boat-airdopes-earbuds_7,boAt Airdopes earbuds,in,7,"boAt Newly Launched Airdopes 800 TWS Earbuds with Dolby Audio, Adaptive EQ by Mimi, 40 hrs Playback, 4 Mics with AI-ENx,Multipoint Connection,Hearable",desertcart.in,"₹17,439",,"https://www.google.com/search?ibp=oshop&q=boAt Airdopes earbuds&prds=productid:792102436509923363,headlineOfferDocid:792102436509923363,imageDocid:16935347817459911894,rds:PC_7515343444394554715|PROD_PC_7515343444394554715,pvt:hg&hl=en&gl=in&udm=28",1,0,desertcart import; Airdopes 800 ~₹3k in India
in_boat-airdopes-earbuds_8,boAt Airdopes earbuds,in,8,"boAt Airdopes 800: Dolby Audio, Adaptive EQ, 4Mics AI ENx, App Support, Fast Charge, Low Latency, IPX5, v5.3 Bluetooth TWS Earbuds (Interstellar Black",desertcart.in,"₹9,970",,"https://www.google.com/search?ibp=oshop&q=boAt Airdopes earbuds&prds=productid:4884849743403107255,headlineOfferDocid:4884849743403107255,imageDocid:13377848105070967975,rds:PC_7515343444394554715|PROD_PC_7515343444394554715,pvt:hg&hl=en&gl=in&udm=28",1,0,desertcart import; Airdopes 800 ~₹3k in India
in_boat-airdopes-earbuds_9,boAt Airdopes earbuds,in,9,boAt Airdopes Prime 512 (EMI: ₹ 439 / mon),EMI Snapmint,"₹1,299",,"https://www.google.com/search?ibp=oshop&q=boAt Airdopes earbuds&prds=productid:13345857847170503665,headlineOfferDocid:13345857847170503665,imageDocid:10018310384942460223,rds:PC_9935551619461311412|PROD_PC_9935551619461311412,pvt:hg&hl=en&gl=in&udm=28",1,,"Snapmint; unfamiliar model, can't judge price"
in_sony-wh-1000xm5_0,Sony WH-1000XM5,in,0,Sony WH-1000XM5 Wireless Noise Cancelling Headphones,Amazon.in,"₹29,680",,"https://www.google.com/search?ibp=oshop&q=Sony WH-1000XM5&prds=catalogid:12461101498106975479,productid:10852861497936325958,headlineOfferDocid:6584650344737920542,imageDocid:13508659965755668511,rds:PC_11726664398501807381|PROD_PC_11726664398501807381,gpcid:11726664398501807381,mid:576462892684740299,pvt:hg&hl=en&gl=in&udm=28",1,0,"Amazon.in; ₹29,680 is the usual selling price"
in_sony-wh-1000xm5_1,Sony WH-1000XM5,in,1,Sony WH-1000XM5 Wireless Noise-Canceling Headphones,AJIO.com,"₹23,664","32% off₹34,990","https://www.google.com/search?ibp=oshop&q=Sony WH-1000XM5&prds=catalogid:14556986932651510680,productid:150833558996812612,headlineOfferDocid:2540198615939212682,imageDocid:14085672483349895987,rds:PC_6041308795368515351|PROD_PC_6041308795368515351,gpcid:6041308795368515351,mid:576462912449346304,pvt:hg&hl=en&gl=in&udm=28",1,1,"AJIO; ₹23,664, well below usual ~₹29k"
in_sony-wh-1000xm5_2,Sony WH-1000XM5,in,2,Joyus Sony WH-1000XM5 Wireless Noise Canceling Headphones,Myntra,"₹27,199",,"https://www.google.com/search?ibp=oshop&q=Sony WH-1000XM5&prds=catalogid:10740075995289707560,productid:12652293980931910956,headlineOfferDocid:8601000088115733670,imageDocid:977517922270189320,rds:PC_15544113663339316856|PROD_PC_15544113663339316856,gpcid:15544113663339316856,mid:576462897982990997,pvt:hg&hl=en&gl=in&udm=28",1,1,"Myntra marketplace; ₹27,199 below usual ~₹29k"
in_sony-wh-1000xm5_3,Sony WH-1000XM5,in,3,Sony Unisex Best Active Wireless Bluetooth Headphones with Mic-WH-1000XM5 (Purple),AJIO.com,"₹23,664","32% off₹34,990","https://www.google.com/search?ibp=oshop&q=Sony WH-1000XM5&prds=productid:17211535007738878624,headlineOfferDocid:17211535007738878624,imageDocid:12097836595521527270,rds:PC_12058368639360109844|PROD_PC_12058368639360109844,pvt:hg&hl=en&gl=in&udm=28",1,1,"AJIO; ₹23,664"
in_sony-wh-1000xm5_4,Sony WH-1000XM5,in,4,Sony Noise Cancelling Wireless Headphones,Amazon.in,"₹57,326",,"https://www.google.com/search?ibp=oshop&q=Sony WH-1000XM5&prds=catalogid:5759843087847737750,productid:12956358215940977545,headlineOfferDocid:215176011501847079,imageDocid:15523881879634955435,rds:PC_14540395868648090277|PROD_PC_14540395868648090277,gpcid:14540395868648090277,pvt:hg&hl=en&gl=in&udm=28",1,0,"Amazon.in; ₹57,326 far above XM5 price (import/other model)"
